نام_ستون,نام_متغیر,نوع_داده,تعداد_NULL,درصد_NULL,تعداد_منحصربه‌فرد,نوع_متغیر,نمونه_مقادیر
Unnamed: 0,Unnamed: 0,int64,0,0.0,1509233,پیوسته (یا گسسته با تعداد زیاد),"[0, 1, 2, 3, 4]"
pkey,شناسه,int64,0,0.0,353985,شناسه,"[125103261, 125103261, 125103261, 125103261, 125103262]"
NobatAmargiri,NobatAmargiri,int64,0,0.0,4,گسسته,"[3, 3, 3, 3, 2]"
F2_D03,سن,object,0,0.0,11,پیوسته,"['1', '2', '3', '3', '1']"
F2_D04,جنسیت,int64,0,0.0,2,اسمی,"[1, 2, 2, 1, 1]"
F2_D05,وضعیت تاهل,object,188810,12.51,13,اسمی,"['03', '03', '03', '08', '09']"
F2_D06,F2_D06,float64,34146,2.26,88,پیوسته (یا گسسته با تعداد زیاد),"[47.0, 58.0, 80.0, 85.0, 71.0]"
F2_D07,تحصیلات,float64,0,0.0,85,ترتیبی,"[54.0, 43.0, 21.0, 16.0, 29.0]"
F2_D15,وضعیت فعالیت,int64,0,0.0,2,اسمی,"[2, 2, 1, 1, 2]"
F2_D16,دلیل عدم فعالیت,int64,0,0.0,2,اسمی,"[1, 1, 1, 1, 1]"
F2_D17,رشته تحصیلی,float64,238960,15.83,9,اسمی,"[8.0, 7.0, 6.0, 3.0, 4.0]"
F2_D18,کد تحصیلات ISCED,object,860238,57.0,13,ترتیبی,"['09', '09', '10', '05', '07']"
F2_D19,وضعیت تاهل,object,0,0.0,5,اسمی,"['1', '1', '4', '4', '1']"
F3_D01,F3_D01,int64,0,0.0,2,گسسته,"[2, 1, 2, 2, 1]"
F3_D02,شاخص ۱,float64,490221,32.48,2,اسمی,"[2.0, 2.0, 2.0, 2.0, 2.0]"
F3_D03,شاخص ۲,float64,501985,33.26,2,اسمی,"[2.0, 2.0, 2.0, 2.0, 2.0]"
F3_D04,شاخص ۳,float64,530513,35.15,2,اسمی,"[2.0, 2.0, 2.0, 2.0, 2.0]"
F3_D05,شاخص ۴,float64,533201,35.33,2,اسمی,"[2.0, 2.0, 2.0, 2.0, 2.0]"
F3_D06,شاخص ۵,float64,537523,35.62,2,اسمی,"[2.0, 2.0, 2.0, 2.0, 2.0]"
F3_D07,شاخص ۶,object,1491441,98.82,12,اسمی,"['02', '06', '01', '08', '07']"
F3_D09,F3_D09,object,953918,63.21,449,اسمی (با تعداد زیاد),"['2330', '8322', '8322', '8185', '1221']"
F3_D11,F3_D11,float64,953918,63.21,10,گسسته,"[5.0, 4.0, 4.0, 4.0, 4.0]"
F3_D13,F3_D13,object,953918,63.21,3,اسمی,"['1', '2', '2', '1', '1']"
F3_D24,F3_D24,object,953928,63.21,3,اسمی,"['2', '2', '2', '2', '2']"
F3_D31,F3_D31,float64,555315,36.79,2,گسسته,"[2.0, 2.0, 2.0, 2.0, 2.0]"
F3_D33,F3_D33,float64,603826,40.01,12,پیوسته (یا گسسته با تعداد زیاد),"[11.0, 9.0, 9.0, 10.0, 10.0]"
F3_D37MAH,F3_D37MAH,float64,1481963,98.19,12,پیوسته (یا گسسته با تعداد زیاد),"[0.0, 0.0, 5.0, 0.0, 0.0]"
F3_D38,F3_D38,object,1481973,98.19,3,اسمی,"['2', '2', '2', '2', '2']"
F3_D47,F3_D47,float64,604191,40.03,5,گسسته,"[3.0, 1.0, 1.0, 2.0, 2.0]"
F3_D49,دسته غیرفعال,float64,0,0.0,85,اسمی,"[54.0, 43.0, 21.0, 16.0, 29.0]"
IW_Yearly,وزن سالانه,float64,0,0.0,349862,پیوسته,"[87.43187366, 87.43187366, 87.43187366, 87.43187366, 75.49029466]"
ActivityStatus,وضعیت فعالیت,int64,0,0.0,3,اسمی,"[3, 1, 3, 3, 1]"
year,سال,int64,0,0.0,3,گسسته,"[1401, 1401, 1401, 1401, 1401]"
household_number,شماره خانوار,int64,0,0.0,51,گسسته,"[61, 61, 61, 61, 62]"
cluster_number,شماره خوشه,int64,0,0.0,221,گسسته,"[32, 32, 32, 32, 32]"
urban_rural,شهری/روستایی,int64,0,0.0,2,اسمی,"[1, 1, 1, 1, 1]"
province_code,کد استان,int64,0,0.0,31,اسمی,"[25, 25, 25, 25, 25]"
sample_year,سال نمونه‌گیری,int64,0,0.0,3,گسسته,"[1, 1, 1, 1, 1]"
education_group,گروه تحصیلی,object,860998,57.05,10,اسمی,"['Health and Welfare', 'Health and Welfare', 'Services', 'Natural Sciences', 'Engineering and Manufacturing']"
dep_sex,dep_sex,int64,0,0.0,2,گسسته,"[0, 1, 1, 0, 0]"
dep_urban_rural,dep_urban_rural,int64,0,0.0,2,گسسته,"[0, 0, 0, 0, 0]"
dep_edu,dep_edu,int64,0,0.0,2,گسسته,"[0, 0, 0, 1, 0]"
dep_age_group,dep_age_group,int64,0,0.0,4,گسسته,"[3, 3, 1, 1, 2]"
deprived,محرومیت,int64,0,0.0,2,گسسته (دودویی),"[0, 0, 0, 0, 0]"
